"gene_name","cells_above_default_threshold","max_avg_expression","above_default_threshold"
"Gm7271",0,0.046791,FALSE
"C530008M17Rik",31,2.589804,TRUE
"Thegl",11,0.669285,TRUE
"Gm34728",0,0.013605,FALSE
"BC037156",0,0.030247,FALSE
"Gm7714",0,0.007843,FALSE
"1700063O14Rik",0,0.001845,FALSE
"Sept11",6,0.5,TRUE
"Gm16427",0,0.005312,FALSE
"C87414",0,0.003145,FALSE
"Gm6502",0,0.009259,FALSE
"AA792892",0,0.003145,FALSE
"Gm7682",0,0.011494,FALSE
"Gm3259",0,0.005272,FALSE
"Gm42601",0,0.001637,FALSE
"Gm2861",0,0.002217,FALSE
"4930522N08Rik",0,0.009296,FALSE
"Gm17660",0,0.058433,FALSE
"BC005561",41,3.478992,TRUE
"D930016D06Rik",17,1.05042,TRUE
"Gm26519",0,0.011765,FALSE
"Gm42916",0,0.041667,FALSE
"Gm42902",2,0.319328,TRUE
"Gm26692",10,0.466667,TRUE
"Gm42517",0,0.083333,FALSE
"Atp5k",13,0.658672,TRUE
"Mfsd7a",0,0.006289,FALSE
"5430403G16Rik",0,0.2,FALSE
"A430073D23Rik",0,0.153846,FALSE
"Gm43136",0,0.006349,FALSE
"Gm43137",0,0.015873,FALSE
"Gm6583",0,0.066667,FALSE
"Gm6588",2,0.346939,TRUE
"Gm42864",0,0.013333,FALSE
"1500011B03Rik",5,0.367816,TRUE
"Gm10401",0,0.008403,FALSE
"Gm42903",0,0.019608,FALSE
"2410131K14Rik",0,0.153846,FALSE
"Gm16064",0,0.005076,FALSE
"1700021F13Rik",1,0.48524,TRUE
"4932422M17Rik",0,0.201258,FALSE
"Wdr66",19,4.521008,TRUE
"2810006K23Rik",0,0.2,FALSE
"Sept14",0,0.2,FALSE
"Nupr1l",24,0.872694,TRUE
"Muc3",2,0.722689,TRUE
"Gm3054",0,0.058824,FALSE
"CAAA01077340.1",0,0.027211,FALSE
"Gm42456",0,0.011494,FALSE
"Map11",0,0.166667,FALSE
"Gm5294",0,0.015548,FALSE
"3110082I17Rik",30,1.8,TRUE
"Gm4869",0,0.111111,FALSE
"Olfr718-ps1",0,0.133333,FALSE
"E130309D02Rik",0,0.16092,FALSE
"Gm20635",0,0.2,FALSE
"Gm42504",0,0.003145,FALSE
"Fam220a.1",2,0.266667,TRUE
"Atp5j2",29,0.916974,TRUE
"Gm20685",0,0.009524,FALSE
"Bmt2",16,0.615385,TRUE
"2610001J05Rik",0,0.153846,FALSE
"Fam71f2",8,0.563025,TRUE
"Fam71f1",18,0.853888,TRUE
"Atp6v1fnb",0,0.237716,FALSE
"Gm14532",0,0.122642,FALSE
"Gm13844",0,0.159664,FALSE
"Akr1b3",21,0.448276,TRUE
"1810058I24Rik",1,0.250923,TRUE
"Ttc26",26,1.714286,TRUE
"E330009J07Rik",6,0.4,TRUE
"Olfr461",0,0.013304,FALSE
"Olfr460",0,0.026432,FALSE
"1700074P13Rik",17,1.042017,TRUE
"Olfr459",0,0.003175,FALSE
"Olfr446",0,0.008403,FALSE
"Olfr444",0,0.041667,FALSE
"Olfr441",0,0.041667,FALSE
"Olfr237-ps1",0,0.015873,FALSE
"Olfr437",0,0.006684,FALSE
"Olfr13",0,0.02139,FALSE
"Gm44696",6,1.319328,TRUE
"Mpp6",43,1.732865,TRUE
"4921507P07Rik",8,0.514533,TRUE
"Gm44028",0,0.142857,FALSE
"Gm16499.1",0,0.001852,FALSE
"Gars",4,0.933333,TRUE
"BB365896",0,0.083333,FALSE
"A430010J10Rik",2,0.277311,TRUE
"Tex37",3,0.711819,TRUE
"4931417E11Rik",5,0.344538,TRUE
"Gm9008",0,0.066667,FALSE
"4930553P18Rik",0,0.016807,FALSE
"Gm43936",0,0.022989,FALSE
"1810020O05Rik",2,0.307692,TRUE
"H1fx",8,0.556465,TRUE
"Gm38708",0,0.002455,FALSE
"1700123L14Rik",5,0.833948,TRUE
"Gm765",0,0.024352,FALSE
"Gm43067",0,0.083333,FALSE
"H1foo",0,0.066667,FALSE
"March8",12,1.133333,TRUE
"Olfr212",1,0.254501,TRUE
"Olfr215",0,0.133333,FALSE
"Gm45083",0,0.117046,FALSE
"4922502D21Rik",25,2.512605,TRUE
"Gm44275",0,0.001835,FALSE
"E330021D16Rik",0,0.020458,FALSE
"Hist4h4",0,0.004435,FALSE
"H2afj",2,0.285714,TRUE
"Gm11077",0,0.117647,FALSE
"Gm5724",2,0.262745,TRUE
"Gm6614",0,0.006289,FALSE
"Lrmp",0,0.016807,FALSE
"Casc1",7,0.465409,TRUE
"Arntl2",2,0.87395,TRUE
"Gm10203",0,0.008403,FALSE
"Gm15448",0,0.003175,FALSE
"Gm14548",0,0.005181,FALSE
"Fam71e2",9,1.315508,TRUE
